Farmer_Message,Advisor_Reply,Crop,Problem_Type,Language,Location,Season,Urgency_Level,Sentiment,Advisor_Type,Product_Recommended,Cost_Estimate,Follow_Up_Required,Message_Length,Intent_Tag,Timestamp
ıııııı ıııııııııı ıııııı ıııııııııı ıııı ıııııııııııııı ıııııııı,ıııııııııııııııı ıııııı ıııııııııııııı ıııııııı,Brinjal,Market,Kashmiri,Uttarakhand,Kharif,Medium,Worried,Govt_Expert,Irrigation Pump,1073,Yes,7,ask_advice,01/04/2024 12:54
ıııııııııııı ııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı.,ıııııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııı,Cotton,Weather,Tulu,Sikkim,Winter,Low,Frustrated,Human,None,0,Yes,6,ask_advice,20/07/2024 21:11
ıııııııııııı ıııııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Ragi,Equipment,Hindi,Manipur,Kharif,Medium,Hopeful,AI,Pesticide,891,Yes,10,ask_advice,26/03/2025 01:59
ııııııııı ıııııı ııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııı ııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Pulses,Weather,Hindi,Uttarakhand,Rabi,Low,Hopeful,AI,Neem Oil,3076,Yes,11,ask_advice,10/03/2024 03:55
ıııııııııııı ııııııııı ııı ıııııııııııı ııııııııııııııııııııı,ıııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııı ııııııııı ııııııııııııııı ııııııııııııııııııııı ııııııııııııııı,Pulses,Pest,Bengali,Uttar Pradesh,Winter,Medium,Frustrated,AI,Irrigation Pump,535,Yes,5,ask_advice,12/02/2024 00:29
ıııııııııııı ıııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııııııııı ıııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııı.,Millets,Market,Tamil,Bihar,Summer,Low,Frustrated,Private,Neem Oil,1892,Yes,23,ask_advice,31/08/2024 19:52
ııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ııı ııııııııı ıııııııııııı,ıııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı,Brinjal,Equipment,Maithili,Gujarat,Zaid,High,Frustrated,AI,None,0,Yes,9,ask_advice,21/07/2024 05:50
ııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ıııııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Apple,Market,Maithili,Himachal Pradesh,Rabi,High,Worried,Private,Pesticide,142,No,12,ask_advice,08/02/2024 13:28
ıııııııııııııııııı ııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ııııııııı ııııııııı,ııııııııııııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Potato,Water,Rajasthani,Tripura,Monsoon,High,Neutral,AI,Fungicide,3961,No,10,ask_advice,20/03/2024 20:47
ııııııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııı ıııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Millets,Nutrient,Bhojpuri,Telangana,Summer,High,Frustrated,Human,None,0,Yes,13,ask_advice,01/05/2025 09:15
ıııııııııııı ıııı ıııııı ıııııı ıııı ıııııııııııııı ıııı ıııııı ıııı ıııııııı ıııı ıııııı ıııııı,ıııııııııııııııı ıııııı ıııııııııııııı ıııııııı,Spices,Equipment,Kashmiri,Haryana,Zaid,Low,Worried,Private,Irrigation Pump,3078,No,13,ask_advice,01/11/2024 07:30
ıııııııııııı ııııııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııııııııı ıııııııııııııııııı,Potato,Equipment,Punjabi,West Bengal,Zaid,Medium,Angry,Private,Pesticide,962,No,10,ask_advice,18/01/2024 17:15
ııııııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ıııııııııııııııııı ıııııııııııı ııııııııııııııı,ıııııı ııııııııııııııı,Brinjal,Pest,Konkani,Rajasthan,Zaid,Medium,Frustrated,NGO,Fertilizer,4748,No,7,ask_advice,13/04/2024 03:21
ıııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı ıııııı ııııııııı ıııııı ııııııııı ııııııııııııııı,Tomato,Water,Haryanvi,Tamil Nadu,Winter,High,Worried,Govt_Expert,Neem Oil,4409,Yes,11,ask_advice,03/04/2024 03:43
ıııııııııııı ıııııııııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııııııııııııııı.,ıııııııııııııııııııııııı ııııııııııııııııııııııııııı ııııııııııııııı ııııııııı ııııııııııııııııııııı ıııııııııııı ıııııııııııı.,Brinjal,Weather,Kannada,Uttar Pradesh,Zaid,Medium,Neutral,Human,Drip Kit,305,No,25,ask_advice,21/02/2025 23:56
ıııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııı.,ıııııııııııııııııııııııı ıııııııııııııııııı.,Wheat,Water,Telugu,Odisha,Summer,High,Hopeful,NGO,Fungicide,3678,Yes,16,ask_advice,13/12/2024 17:08
ııııııııı ııııııııı ııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııııııııı,ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı ııııııııııııııııııııı,Apple,Pest,Odia,Odisha,Kharif,Medium,Neutral,NGO,Drip Kit,1644,Yes,6,ask_advice,17/04/2024 00:18
ıııııııııııı ıııııı ııııııııı ııııııııı ıııııı ııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııııııııı ıııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Banana,Disease,Haryanvi,Maharashtra,Rabi,High,Angry,Human,None,0,Yes,11,ask_advice,08/09/2024 12:08
ıııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııı ıııııııııııı,Mango,Pest,Rajasthani,Karnataka,Summer,Medium,Neutral,NGO,Pesticide,204,No,10,ask_advice,22/02/2025 05:00
ıııııııııııı ıııııııııııı ııııııııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııı,ııııııııııııııııııııııııııı ıııııııııııııııııı ıııııııııııı,Cotton,Nutrient,Assamese,Mizoram,Rabi,Low,Worried,Govt_Expert,Fungicide,3082,Yes,7,ask_advice,17/02/2024 22:33
ııııııııı ııııııııı ııı ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııı,ııııııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııı,Coffee,Equipment,Assamese,Odisha,Monsoon,Low,Angry,Human,Fungicide,3681,Yes,6,ask_advice,28/09/2024 07:56
ııııııııı ııııııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııııııııı,ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı ııııııııııııııııııııı,Potato,Equipment,Odia,Karnataka,Rabi,Low,Frustrated,Private,Drip Kit,4792,Yes,7,ask_advice,30/12/2024 19:52
ıııııııııııı ıııııı ıııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Mango,Water,Hindi,Goa,Summer,Low,Worried,Human,Fertilizer,1466,No,10,ask_advice,22/03/2025 12:48
ııııııııııııııı ıııııı ııııııııı ııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııııııııııııııııııııı ıııııııııııııııııı,Wheat,Disease,Hindi,Jharkhand,Summer,High,Worried,Human,Fungicide,2178,No,9,ask_advice,10/07/2024 20:33
ııııııııı ııııııııı ııı ııııııııı ııııııııııııııı,ııııııııı ııııııııı ıııııııııııııııııı ıııııııııııı,Rice,Pest,Assamese,Andhra Pradesh,Zaid,Low,Worried,AI,Neem Oil,1956,Yes,5,ask_advice,08/03/2024 11:39
ııııııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııııııııı ıııııı ıııııııııııı ııııııııı ııııııııı ıııııııııııııııııııııııı ııııııııııııııı,Millets,Pest,Punjabi,Assam,Summer,Low,Frustrated,Human,Fungicide,2217,No,9,ask_advice,09/01/2024 10:59
ııııııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııııııııı ıııııı ııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııı ıııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Wheat,Nutrient,Hindi,Tamil Nadu,Summer,Low,Neutral,Private,None,0,No,12,ask_advice,15/06/2024 21:45
ıııııııııııı ııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııııııııı ıııııı ıııııııııııı ııııııııı ııııııııı ııııııııı ııııııııııııııı,Wheat,Water,Punjabi,Gujarat,Monsoon,Medium,Frustrated,Govt_Expert,Fertilizer,350,Yes,9,ask_advice,12/04/2024 20:38
ıııııı ıııııı ıııııı ııııııııı ıııııııııııııııııı,ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı ııııııııııııııııııııı,Mango,Disease,Odia,Telangana,Winter,Medium,Worried,Private,Drip Kit,830,Yes,5,ask_advice,20/12/2024 22:47
ıııııı ıııııııı ıııı ıııııııııııı ıııı ıııııııııı ıııııııı,ıııııııııııııııı ıııııı ıııı ıııııııııııı ıııııııı,Ragi,Disease,Kashmiri,Goa,Rabi,High,Neutral,Private,Irrigation Pump,3436,No,7,ask_advice,24/05/2024 23:28
ııııııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ıııııı.,ııııııııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ıııııııııııııııııı ııııııııı ııııııııııııııı.,Spices,Equipment,Gujarati,Sikkim,Kharif,High,Worried,Govt_Expert,Irrigation Pump,3539,Yes,9,ask_advice,02/05/2024 10:07
ıııııı ıııııııı ıııııı ıııııııııı ıııı ıııııııııııııı ıııııııı,ıııııı ıııı ıııııı ıııııııııııııı ıııııııı,Banana,Market,Kashmiri,Bihar,Zaid,Medium,Hopeful,Govt_Expert,Neem Oil,2734,No,7,ask_advice,19/02/2025 07:46
ıııııı ıııııııı ıııııı ıııııı ıııı ıııııııııııııı ıııııııı,ıııııı ıııı ıııııııı ıııııı ıııı ıııııı ıııı ıııııı ıııııııı,Banana,Equipment,Kashmiri,Maharashtra,Winter,High,Angry,Private,Neem Oil,2246,No,7,ask_advice,10/12/2024 18:47
ııııııııııııııı ıııııı ııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ııııııııı,ııııııııı ıııııı ııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Sugarcane,Water,Rajasthani,Mizoram,Winter,High,Frustrated,AI,Neem Oil,1811,No,12,ask_advice,28/06/2024 20:05
ıııııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııı.,ııııııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı.,Millets,Weather,Marathi,Chhattisgarh,Kharif,Medium,Angry,Human,Neem Oil,4865,Yes,6,ask_advice,01/08/2024 03:11
ıııııııııııı ıııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı ıııııııııııı ıııııııııııı ıııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııı,Tomato,Nutrient,Tulu,Meghalaya,Zaid,High,Worried,Govt_Expert,Pesticide,2853,No,8,ask_advice,13/01/2024 18:00
ıııııııııııı ııııııııııııııııııııı ııııııııı ııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııı.,ıııııııııııııııııı ıııııııııııııııııııııııııııııı ııııııııııııııı ııııııııııııııııııııııııııııııııı.,Cotton,Nutrient,Tamil,Punjab,Zaid,Low,Angry,Govt_Expert,Drip Kit,567,No,22,ask_advice,08/12/2024 22:37
ıııııııııııı ıııııı ııııııııı ııııııııı ıııııı ııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı ıııııı ııııııııı ııııııııııııııı,Banana,Disease,Haryanvi,Assam,Rabi,Medium,Hopeful,Private,Fertilizer,227,Yes,11,ask_advice,30/01/2024 16:01
ııııııııııııııı ıııııııııııııııııı ııı ııııııııııııııııııııııııııııııııııııııı ııııııııııııııı ııııııııııııııı.,ıııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı.,Rice,Water,Malayalam,Rajasthan,Zaid,Low,Neutral,NGO,Drip Kit,420,Yes,20,ask_advice,25/11/2024 05:22
ııııııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ıııııı.,ıııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı.,Potato,Market,Gujarati,Bihar,Zaid,Medium,Angry,AI,Irrigation Pump,4505,No,9,ask_advice,03/12/2024 23:51
ıııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııı,ıııııııııııı ııııııııı ııııııııııııııııııııı ıııııı ııııııııı ııııııııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııı,Cotton,Pest,Santhali,Kerala,Kharif,Medium,Frustrated,AI,None,0,No,7,ask_advice,26/01/2025 05:33
ıııııııııııı ııııııııı ııı ııııııııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııııııııııııııı,ııııııııııııııı ııııııııııııııııııııı ııııııııı ıııııııııııııııııı ııııııııııııııı,Rice,Market,Bengali,Maharashtra,Zaid,High,Angry,Human,Drip Kit,1508,No,8,ask_advice,27/01/2025 14:33
ııııııııı ııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ııı ııııııııı ıııııııııııı,ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı,Tea,Nutrient,Maithili,Rajasthan,Zaid,High,Angry,Govt_Expert,Irrigation Pump,3869,Yes,12,ask_advice,04/08/2024 14:53
ııııııııııııııııııııı ııııııııııııııı ııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı,ııııııııııııııııııııı ııııııııı ııııııııııııııı,Ragi,Weather,Konkani,Gujarat,Summer,Medium,Neutral,AI,Neem Oil,3997,Yes,6,ask_advice,05/09/2024 20:23
ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııııııııı ıııııııııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı.,Mango,Disease,Telugu,Karnataka,Summer,Medium,Worried,Govt_Expert,Irrigation Pump,1798,No,17,ask_advice,13/01/2024 11:53
ıııııııııııı ıııııııııııı ııı ııııııııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııııııııııııııı,ıııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııı ııııııııı ııııııııı ııııııııııııııııııııı ııııııııııııııı,Ragi,Market,Bengali,Uttar Pradesh,Kharif,High,Neutral,NGO,Neem Oil,348,Yes,8,ask_advice,05/02/2024 18:30
ıııııııııııı ıııııııııııı ııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı,Sugarcane,Weather,Punjabi,Maharashtra,Winter,High,Hopeful,AI,Pesticide,3160,Yes,10,ask_advice,21/06/2024 02:24
ııııııııııııııı ıııııı ııııııııı ııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ııııııııı,ııııııııı ıııııı ııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Spices,Disease,Rajasthani,Bihar,Monsoon,Medium,Worried,Govt_Expert,Neem Oil,3364,Yes,10,ask_advice,30/12/2024 23:30
ııııııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı,ıııııı ıııııı ıııııııııııııııııı ııııııııı,Pulses,Market,Konkani,West Bengal,Zaid,Medium,Angry,Human,Fertilizer,2715,Yes,7,ask_advice,20/03/2025 23:04
ıııııııııııı ııııııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı ııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Millets,Disease,Bhojpuri,Jharkhand,Winter,Medium,Neutral,NGO,Pesticide,768,No,8,ask_advice,25/06/2024 23:40
ııııııııııııııı ıııııııııııııııııı ııııııııı ıııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ıııııı.,ııııııııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ııııııııııııııı.,Onion,Nutrient,Gujarati,Telangana,Winter,High,Angry,Human,Fertilizer,4924,Yes,8,ask_advice,09/01/2024 22:43
ııııııııı ııııııııı ııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııııııııı,ıııııııııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııı,Potato,Disease,Odia,Mizoram,Rabi,High,Frustrated,Human,Fungicide,2710,Yes,6,ask_advice,01/07/2024 14:53
ıııııııııııı ıııııııııııı ıııııı ııııııııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı.,ıııııııııııııııııı ıııııııııııııııııııııııı,Millets,Market,Tulu,Tamil Nadu,Winter,High,Worried,Govt_Expert,Fertilizer,1661,No,6,ask_advice,16/01/2024 11:41
ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııııııııı,ııııııııııııııı ııııııııııııııııııııı ııııııııı ıııııııııııııııııııııııııııııı,Tomato,Weather,Manipuri,Jharkhand,Kharif,Medium,Neutral,AI,Drip Kit,3101,No,8,ask_advice,03/12/2024 04:40
ıııııııııııııııııı ııııııııııııııı ııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııııııııııııııııııııııııııııııııı.,ıııııııııııı ııııııııııııııııııııııııııııııııı.,Tea,Nutrient,Tamil,Bihar,Summer,High,Hopeful,Govt_Expert,Fertilizer,3499,Yes,31,ask_advice,03/05/2024 19:35
ıııııııııııı ıııııı ıııııı ıııııııııııı ııııııııııııııı ıııııııııııııııııı.,ıııııııııııııııııı ııııııııııııııııııııı ıııııııııııı ıııııııııııııııııııııııı,Tea,Water,Tulu,Tripura,Rabi,High,Frustrated,AI,Drip Kit,1609,Yes,6,ask_advice,02/06/2024 06:35
ııııııııııııııı ıııııı ıııııı ıııııııııııı ııııııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ıııııı.,ııııııııı ıııııııııııı ıııııı ııııııııııııııı ııııııııı.,Tea,Nutrient,Gujarati,Punjab,Monsoon,High,Worried,AI,None,0,Yes,10,ask_advice,13/02/2025 04:39
ıııııııııııı ııııııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııı,ıııııııııııı ııııııııı ııııııııııııııııııııı ıııııı ııııııııı ııııııııı ııııııııııııııı ıııııııııııııııııııııııı,Ragi,Weather,Santhali,Mizoram,Summer,High,Worried,AI,Neem Oil,3627,No,6,ask_advice,03/07/2024 08:19
ıııııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Cotton,Market,Bhojpuri,Karnataka,Monsoon,High,Hopeful,Govt_Expert,Pesticide,1526,No,12,ask_advice,03/10/2024 20:46
ııııııııııııııı ıııııı ııııııııı ııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Wheat,Disease,Bhojpuri,Karnataka,Summer,High,Hopeful,NGO,Fertilizer,4049,Yes,10,ask_advice,20/12/2024 06:44
ııııııııı ııııııııııııııı ııı ııııııııı ııııııııııııııı,ııııııııı ııııııııı ııııııııııııııııııııı ıııııııııııı,Brinjal,Disease,Assamese,West Bengal,Rabi,High,Worried,AI,None,0,No,5,ask_advice,05/03/2025 17:52
ııııııııııııııı ıııııı ıııııı ıııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ıııııı.,ııııııııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ııııııııııııııı.,Tea,Water,Gujarati,Meghalaya,Zaid,High,Angry,AI,Fertilizer,4001,Yes,9,ask_advice,09/11/2024 22:24
ıııııııııııı ııııııııı ııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı,Pulses,Pest,Punjabi,Bihar,Kharif,Low,Neutral,AI,Fungicide,4958,Yes,8,ask_advice,08/05/2024 00:33
ııııııııı ııııııııı ııı ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııı,ııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııııııııııııııı ıııııııııııı,Coffee,Equipment,Assamese,Punjab,Summer,Medium,Hopeful,AI,Drip Kit,760,No,6,ask_advice,17/04/2025 14:31
ıııııııııııı ıııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııııııııı ıııııııııııııııııı.,ııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııı.,Ragi,Weather,Tamil,Mizoram,Winter,Low,Worried,Govt_Expert,Neem Oil,3052,No,26,ask_advice,13/04/2024 06:47
ııııııııııııııı ııııııııı ııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııı ııııııııııııııı,ıııııııııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııı,Ragi,Weather,Konkani,Goa,Zaid,High,Neutral,Human,Pesticide,113,No,8,ask_advice,20/10/2024 13:09
ııııııııı ıııııııııııı ııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııı,ııııııııııııııııııııııııııı ıııııııııııııııııı ıııııııııııı,Coffee,Water,Assamese,Bihar,Winter,Low,Frustrated,Private,Fungicide,2009,No,7,ask_advice,24/07/2024 18:05
